被験者名,
試行事例,
隆起部上センサ,2
最大挙上時間,6
安静時間,10
CH1,CH2,Difference,LOG,Detection
1.3504,1.3312000000000002,0.0,0,0
1.344,1.3296000000000001,0.0,0,0
1.3312000000000002,1.3264,0.0,0,0
1.3184,1.32,0.0,0,0
1.3168,1.32,0.0022400000000000198,0,0
1.312,1.3152000000000001,0.0032000000000000028,0,0
1.3168,1.32,0.0038399999999999767,0,0
1.3216,1.3248,0.0041599999999999415,0,0
1.3232000000000002,1.3232000000000002,0.003199999999999914,0,0
1.3216,1.3184,0.0041599999999999415,0,0
1.3216,1.3136,0.0041599999999999415,0,0
1.32,1.3104,0.0038399999999999767,0,0
1.3184,1.3008,0.004800000000000004,0,0
1.3152000000000001,1.296,0.005440000000000023,0,0
1.3136,1.2976,0.004800000000000004,0,0
1.3184,1.3024,0.004800000000000004,0,0
1.3232000000000002,1.3088,0.005439999999999978,0,0
1.3248,1.3088,0.0035199999999999676,0,0
1.3232000000000002,1.3088,0.0025599999999999846,0,0
1.3728,1.3216,0.004800000000000004,0,0
1.4032,1.3024,0.007680000000000043,0,0
1.3488,1.2544,0.01600000000000006,0,1
1.3104,1.2016,0.02656000000000005,0,0
1.3168,1.1808,0.030720000000000035,0,0
1.2992000000000001,1.1536,0.03360000000000003,1,0
1.2576,1.0656,0.04735999999999998,0,0
1.2496,1.0576,0.03935999999999997,0,0
1.256,1.1456,0.046399999999999955,0,0
1.2496,1.2336,0.059839999999999983,0,0
1.2448000000000001,1.2464,0.05695999999999994,0,0
1.248,1.1984000000000001,0.048959999999999934,1,0
1.2752000000000001,1.1936,0.04831999999999996,0,0
1.3712,1.2272,0.03744000000000001,0,0
1.3712,1.2448000000000001,0.023360000000000002,0,0
1.3584,1.256,0.023039999999999995,0,0
1.3424,1.2656,0.01536000000000004,0,0
1.3472000000000002,1.2768000000000002,0.016640000000000033,0,0
1.3744,1.336,0.02176,0,0
1.3472000000000002,1.3456000000000001,0.02016,0,0
1.3024,1.3312000000000002,0.02080000000000002,0,0
1.2944,1.3424,0.021119999999999983,0,0
1.3008,1.3584,0.022079999999999968,0,0
1.304,1.3664,0.011839999999999984,0,0
1.304,1.3728,0.011199999999999965,0,0
1.3056,1.3776000000000002,0.00928,0,0
1.3104,1.3776000000000002,0.007040000000000024,0,0
1.3088,1.3760000000000001,0.00416000000000003,0,0
1.3056,1.3744,0.002880000000000038,0,0
1.3072000000000001,1.3792,0.002560000000000029,0,0
1.3152000000000001,1.3824,0.0022400000000000198,0,0
1.3184,1.3856000000000002,0.002880000000000038,0,0
1.32,1.3856000000000002,0.002560000000000029,0,0
1.3168,1.3840000000000001,0.002560000000000029,0,0
1.3104,1.3776000000000002,0.002880000000000038,0,0
1.304,1.3744,0.002880000000000038,0,0
1.304,1.3728,0.002560000000000029,0,0
1.3056,1.3744,0.002880000000000038,0,0
1.3104,1.3792,0.003520000000000012,0,0
1.3136,1.3840000000000001,0.0032000000000000474,0,0
1.312,1.3856000000000002,0.002880000000000038,0,0
1.3056,1.3824,0.0032000000000000474,0,0
1.296,1.3776000000000002,0.0038400000000000213,0,0
